Designator,Description,Value,Manufacturer Part Number,Footprint,Case/Package,Quantity
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39",CAP CER 1uF 25V X7R 0603,1uF,0603B105K250NT,CAPC0603,0603,39
"D1, D3, D4, D5, D6, D7",100V 550mW Single 1.25V@150mA 4ns 250mA SOD-323F Switching Diode ROHS,,"BAS16J,135",SOD-323,SOD-323,6
J1,Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow,,XT30PW-M,XT30PW-M-2 -PAD,,1
J2,Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow,,XT30PW-M,XT30PW-M-2,,1
J3,JST_HX_2.0MM Header 13-Pin,,B13B-PH-K-S(LF)(SN),JST_2.0MM_13_ver_XH,TH,1
J4,JST_HX_2.0MM Header 12-Pin,,A2001WV-12P,JST_2.0MM_12_ver_XH,TH,1
J5,"1x2P PH 1 2mm 2 Plugin,P=2mm Wire To Board / Wire To Wire Connector ROHS",,PH-2A,JST_2.0MM_2_ver_XH,TH,1
"Q1, Q2, Q3, Q4","100V 60A 18.5m?@10V,60A N Channel TO-252 MOSFETs ROHS",,IRFR3710ZTR-VB,TO-252,TO-252,4
"R1, R24, R41, R58, R75","Thick Film Resistor -  1Kohm, 1%, 0603",1K,SCR0603F1K,RESC0603,0603,5
"R2, R20, R26, R43, R60, R63, R77","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  0ohm, 1%, 0603",0E,WR06X0000FTL,RESC0603_TRIPAD,0603,7
"R3, R4, R7, R9, R10, R11, R25, R27, R30, R32, R34, R35, R42, R44, R47, R49, R50, R51, R59, R61, R64, R66, R68, R69, R78, R80, R82, R83, R85","Thick Film Resistor -  43ohm, 1%, 0603",43E,SCR0603F43R,RESC0603,0603,29
"R5, R6, R12, R28, R29, R38, R39, R45, R46, R56, R57, R62, R73, R74, R76, R79, R84","Thick Film Resistor -  10Kohm, 1%, 0603",10K,0603WAF1002T5E,RESC0603,0603,17
"R8, R15, R31, R33, R36, R48, R52, R53, R65, R67, R70, R81","Thick Film Resistor -  10Mohm, 1%, 0603",10M,FRC0603J106 TS,RESC0603,0603,12
"R13, R14","Thick Film Resistor -  5.1Kohm, 1%, 0603",5.1K,FRC0603J512 TS,RESC0603,0603,2
R16,"Thick Film Resistor -  3.3Mohm, 1%, 0603",3.3M,FRC0603J335 TS,RESC0603,0603,1
"R17, R19, R37, R40, R54, R55, R71, R72, R86, R87","Thick Film Resistor -  470Kohm, 1%, 0603",470K,RS-03K4703FT,RESC0603,0603,10
R18,"Thick Film Resistor -  4mohm, 1%, 1206",4m,PA1206FRF470R004L,RESC1206,1206,1
"R21, R22","Thick Film Resistor -  10ohm, 1%, 0603",100E,0603WAF1000T5E,RESC0603,0603,2
"R88, R89","PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  10Mohm, 1%, 0603",10M,FRC0603J106 TS,RESC0603_TRIPAD,0603,2
R90,"PLACE ANY ONE GIVEN CONDITON Thick Film Resistor -  10Kohm, 1%, 0603",10K,0603WAF1002T5E,RESC0603_TRIPAD,0603,1
R91,"Thick Film Resistor -  1Mohm, 1%, 0603",1M,SCR0603J1M,RESC0603,0603,1
"U1, U2, U3, U4, U5",Battery Management 3-Series to 5-Series Stackable Ultra-Low-Power Primary Protector With Autonomous Cell Balancing 24-TSSOP -40 to 85,,BQ7791506PWR,TSSOP-24,TSSOP-24,5
